Date,ProductGrp,Cntry,Site,Type,Rank,Brand,Model,Name,Price,Curr
2018-12-31,Mobile,CZ,Alza,Tile,17,Xiaomi,Mi A2 64GB,Xiaomi Mi A2 64GB LTE Zlat,4999.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,18,Xiaomi,Redmi 6 3GB/64GB,Xiaomi Redmi 6 3GB/64GB LTE zlat,3399.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,19,Xiaomi,Redmi 6 3GB/64GB,Xiaomi Redmi 6 3GB/64GB LTE ern,3399.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,22,Xiaomi,Mi A2 Lite,Xiaomi Mi A2 Lite 32GB LTE ern,4199.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,23,Xiaomi,Redmi 6 32GB,Xiaomi Redmi 6 32GB LTE Zlat,3799.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,24,Xiaomi,Redmi Note 6,Xiaomi Redmi Note 6 Pro LTE 64GB ern,5399.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,20,Xiaomi,Redmi Note 6,Xiaomi Redmi Note 6 Pro 4GB/64GB,5068.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,16,Xiaomi,Redmi Note 5,Xiaomi Redmi Note 5 4GB/64GB,4475.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,17,Xiaomi,Mi 8 Lite,Xiaomi Mi 8 Lite 4GB/64GB,5989.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,10,Xiaomi,Mi A2 Lite,Xiaomi Mi A2 Lite 4GB/64GB,4420.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,8,Xiaomi,Redmi 6,Xiaomi Redmi 6 3GB/32GB,2935.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,1,Apple,iPhone X 64,Apple iPhone X 64 GB - Space Gray (MQAC2CN/A),23890.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,2,Apple,iPhone 7 32,Apple iPhone 7 32 GB - Black (MN8X2CN/A),12890.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,5,Apple,iPhone SE 32,Apple iPhone SE 32 GB - Space Grey (MP822CS/A),6997.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,9,Apple,iPhone 7 32,Apple iPhone 7 32 GB - Rose Gold (MN912CN/A),12890.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,4,Apple,iPhone 6s 32GB-,Apple iPhone 6s 32GB- Space Gray (MN0W2CN/A),8222.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,3,Apple,Xr 128GB,iPhone Xr 128GB modr,23990.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,23,Apple,iPhone 7,Apple iPhone 7 128GB,12900.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,6,Apple,iPhone SE,Apple iPhone SE 32GB,6350.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,18,Apple,iPhone XR,Apple iPhone XR 64GB,19278.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,7,Apple,iPhone X,Apple iPhone X 64GB,21384.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,11,Apple,iPhone 6S,Apple iPhone 6S 32GB,7449.0,CZK
